DATE	TIME	TZCD	VALUE	PRECISION	REMARK	FLAGS	QA
20120311	071500	CDT	0.00	2	 		W
20120311	073000	CDT	0.00	2	 		W
20120311	074500	CDT	0.00	2	 		W
20120311	080000	CDT	0.00	2	 		W
20120311	081500	CDT	0.00	2	 		W
20120311	083000	CDT	0.00	2	 		W
20120311	084500	CDT	0.00	2	 		W
20120311	090000	CDT	0.00	2	 		W
20120311	091500	CDT	0.00	2	 		W
20120311	093000	CDT	0.00	2	 		W
20120311	094500	CDT	0.00	2	 		W
20120311	100000	CDT	0.00	2	 		W
20120311	101500	CDT	0.00	2	 		W
20120311	103000	CDT	0.00	2	 		W
20120311	104500	CDT	0.00	2	 		W
20120311	110000	CDT	0.00	2	 		W
20120311	111500	CDT	0.00	2	 		W
20120311	113000	CDT	0.00	2	 		W
20120311	114500	CDT	0.00	2	 		W
20120311	120000	CDT	0.00	2	 		W
20120311	121500	CDT	0.00	2	 		W
20120311	123000	CDT	0.00	2	 		W
20120311	124500	CDT	0.00	2	 		W
20120311	130000	CDT	0.00	2	 		W
20120311	131500	CDT	0.00	2	 		W
20120311	133000	CDT	0.00	2	 		W
20120311	134500	CDT	0.00	2	 		W
20120311	140000	CDT	0.00	2	 		W
20120311	141500	CDT	0.00	2	 		W
20120311	143000	CDT	0.00	2	 		W
20120311	144500	CDT	0.00	2	 		W
20120311	150000	CDT	0.00	2	 		W
20120311	151500	CDT	0.00	2	 		W
20120311	153000	CDT	0.00	2	 		W
20120311	154500	CDT	0.00	2	 		W
20120311	160000	CDT	0.00	2	 		W
20120311	161500	CDT	0.00	2	 		W
20120311	163000	CDT	0.00	2	 		W
20120311	164500	CDT	0.00	2	 		W
20120311	170000	CDT	0.00	2	 		W
20120311	171500	CDT	0.00	2	 		W
20120311	173000	CDT	0.00	2	 		W
20120311	174500	CDT	0.00	2	 		W
20120311	180000	CDT	0.00	2	 		W
20120311	181500	CDT	0.00	2	 		W
20120311	183000	CDT	0.00	2	 		W
20120311	184500	CDT	0.00	2	 		W
20120311	190000	CDT	0.00	2	 		W
20120311	191500	CDT	0.00	2	 		W
20120311	193000	CDT	0.00	2	 		W
